id;genotype
B/Italy/14158/2023;V1A.3a.2
B/Czech_Republic/2070/2023;V1A.3a.2
B/Sweden/8/2023;V1A.3a.2
B/Zhejiang-Xiacheng/11085/2021;V1A.3a.2
B/Chile/1453/2023;V1A.3a.2
B/Connecticut/01/2021__(22/154);V1A.3a.2
B/Poland/157/2023;V1A.3a.2
B/Kyiv/2021/2023;V1A.3a.2
B/Colorado/05/2022;V1A.3a.2
B/Brazil/9753/2022;V1A.3a.2
B/Slovenia/924/2023;V1A.3a.2
B/Catalonia/2279261NS/2023;V1A.3a.2
B/Shaanxi-Baota/1278/2022;V1A.3a.2
B/Netherlands/10894/2022;V1A.3
B/Netherlands/10335/2023;V1A.3a.2
B/Uruguay/1837/2023;V1A.3a.2
B/Norway/08717/2023;V1A.3a.2
B/Moldova/2030521/2023;V1A.3a.2
B/Mozambique/4834/2023;V1A.3a.2
B/Colorado/06/2017;V1A.1
B/Washington/02/2019;V1A.3
B/Brisbane/60/2008;V1A
B/Catalonia/3514402NS/2023;V1A.3a.2
B/Slovenia/11466/2022;V1A.3a.2
B/Paraguay/2102/2023;V1A.3a.2
B/Austria/1359417/2021;V1A.3a.2
B/Netherlands/11267/2022;V1A.3
B/Stockholm/3/2022;V1A.3a.2
B/Brisbane/145/2023;V1A.3a.2
